cache_size,block_size,associativity,write_back,write_allocate,miss_rate,total_cycle
32768,1,1,1,1,0.297045,8233215
32768,1,1,1,0,0.321425,8137144
32768,1,1,0,1,0.297045,11217515
32768,1,1,0,0,0.321425,11351244
32768,1,2,1,1,0.276311,7606138
32768,1,2,1,0,0.308261,7736606
32768,1,2,0,1,0.276311,10839838
32768,1,2,0,0,0.308261,11030206
32768,1,4,1,1,0.26445,7218897
32768,1,4,1,0,0.297398,7426733
32768,1,4,0,1,0.26445,10648797
32768,1,4,0,0,0.297398,10838033
32768,1,8,1,1,0.256837,6989168
32768,1,8,1,0,0.289801,7220400
32768,1,8,0,1,0.256837,10498568
32768,1,8,0,0,0.289801,10686200
32768,1,16,1,1,0.254696,6925966
32768,1,16,1,0,0.288602,7185879
32768,1,16,0,1,0.254696,10457666
32768,1,16,0,0,0.288602,10661679
32768,1,32,1,1,0.254244,6913671
32768,1,32,1,0,0.288456,7179413
32768,1,32,0,1,0.254244,10448871
32768,1,32,0,0,0.288456,10658513
32768,2,1,1,1,0.297045,8233215
32768,2,1,1,0,0.321425,8137144
32768,2,1,0,1,0.297045,11217515
32768,2,1,0,0,0.321425,11351244
32768,2,2,1,1,0.276311,7606138
32768,2,2,1,0,0.308261,7736606
32768,2,2,0,1,0.276311,10839838
32768,2,2,0,0,0.308261,11030206
32768,2,4,1,1,0.26445,7218897
32768,2,4,1,0,0.297398,7426733
32768,2,4,0,1,0.26445,10648797
32768,2,4,0,0,0.297398,10838033
32768,2,8,1,1,0.256837,6989168
32768,2,8,1,0,0.289801,7220400
32768,2,8,0,1,0.256837,10498568
32768,2,8,0,0,0.289801,10686200
32768,2,16,1,1,0.254696,6925966
32768,2,16,1,0,0.288602,7185879
32768,2,16,0,1,0.254696,10457666
32768,2,16,0,0,0.288602,10661679
32768,2,32,1,1,0.254244,6913671
32768,2,32,1,0,0.288456,7179413
32768,2,32,0,1,0.254244,10448871
32768,2,32,0,0,0.288456,10658513
32768,4,1,1,1,0.297045,8233215
32768,4,1,1,0,0.321425,8137144
32768,4,1,0,1,0.297045,11217515
32768,4,1,0,0,0.321425,11351244
32768,4,2,1,1,0.276311,7606138
32768,4,2,1,0,0.308261,7736606
32768,4,2,0,1,0.276311,10839838
32768,4,2,0,0,0.308261,11030206
32768,4,4,1,1,0.26445,7218897
32768,4,4,1,0,0.297398,7426733
32768,4,4,0,1,0.26445,10648797
32768,4,4,0,0,0.297398,10838033
32768,4,8,1,1,0.256837,6989168
32768,4,8,1,0,0.289801,7220400
32768,4,8,0,1,0.256837,10498568
32768,4,8,0,0,0.289801,10686200
32768,4,16,1,1,0.254696,6925966
32768,4,16,1,0,0.288602,7185879
32768,4,16,0,1,0.254696,10457666
32768,4,16,0,0,0.288602,10661679
32768,4,32,1,1,0.254244,6913671
32768,4,32,1,0,0.288456,7179413
32768,4,32,0,1,0.254244,10448871
32768,4,32,0,0,0.288456,10658513
32768,8,1,1,1,0.297045,8233215
32768,8,1,1,0,0.321425,8137144
32768,8,1,0,1,0.297045,11217515
32768,8,1,0,0,0.321425,11351244
32768,8,2,1,1,0.276311,7606138
32768,8,2,1,0,0.308261,7736606
32768,8,2,0,1,0.276311,10839838
32768,8,2,0,0,0.308261,11030206
32768,8,4,1,1,0.26445,7218897
32768,8,4,1,0,0.297398,7426733
32768,8,4,0,1,0.26445,10648797
32768,8,4,0,0,0.297398,10838033
32768,8,8,1,1,0.256837,6989168
32768,8,8,1,0,0.289801,7220400
32768,8,8,0,1,0.256837,10498568
32768,8,8,0,0,0.289801,10686200
32768,8,16,1,1,0.254696,6925966
32768,8,16,1,0,0.288602,7185879
32768,8,16,0,1,0.254696,10457666
32768,8,16,0,0,0.288602,10661679
32768,8,32,1,1,0.254244,6913671
32768,8,32,1,0,0.288456,7179413
32768,8,32,0,1,0.254244,10448871
32768,8,32,0,0,0.288456,10658513
32768,16,1,1,1,0.257112,7278604
32768,16,1,1,0,0.281814,7275958
32768,16,1,0,1,0.257112,10422204
32768,16,1,0,0,0.281814,10720458
32768,16,2,1,1,0.237474,6686572
32768,16,2,1,0,0.261995,6696368
32768,16,2,0,1,0.237474,10022972
32768,16,2,0,0,0.261995,10306468
32768,16,4,1,1,0.225432,6300773
32768,16,4,1,0,0.247465,6281548
32768,16,4,0,1,0.225432,9805373
32768,16,4,0,0,0.247465,10054848
32768,16,8,1,1,0.216499,6024851
32768,16,8,1,0,0.236132,5957484
32768,16,8,0,1,0.216499,9629251
32768,16,8,0,0,0.236132,9847484
32768,16,16,1,1,0.211198,5870284
32768,16,16,1,0,0.230157,5795774
32768,16,16,0,1,0.211198,9527884
32768,16,16,0,0,0.230157,9740374
32768,16,32,1,1,0.209586,5823459
32768,16,32,1,0,0.22854,5752550
32768,16,32,0,1,0.209586,9495459
32768,16,32,0,0,0.22854,9710050
32768,32,1,1,1,0.256897,7274354
32768,32,1,1,0,0.282033,7366407
32768,32,1,0,1,0.256897,10531354
32768,32,1,0,0,0.282033,10837507
32768,32,2,1,1,0.243381,6872298
32768,32,2,1,0,0.266531,6947513
32768,32,2,0,1,0.243381,10270698
32768,32,2,0,0,0.266531,10547513
32768,32,4,1,1,0.237848,6672785
32768,32,4,1,0,0.257099,6669707
32768,32,4,0,1,0.237848,10176285
32768,32,4,0,0,0.257099,10413107
32768,32,8,1,1,0.236193,6603070
32768,32,8,1,0,0.254244,6562071
32768,32,8,0,1,0.236193,10144170
32768,32,8,0,0,0.254244,10365971
32768,32,16,1,1,0.234456,6537274
32768,32,16,1,0,0.251166,6458787
32768,32,16,0,1,0.234456,10112774
32768,32,16,0,0,0.251166,10318787
32768,32,32,1,1,0.234112,6516354
32768,32,32,1,0,0.249434,6407690
32768,32,32,0,1,0.234112,10113254
32768,32,32,0,0,0.249434,10296490
32768,64,1,1,1,0.206706,6052229
32768,64,1,1,0,0.232302,6294075
32768,64,1,0,1,0.206706,9512929
32768,64,1,0,0,0.232302,9774675
32768,64,2,1,1,0.200236,5845034
32768,64,2,1,0,0.222457,6023165
32768,64,2,0,1,0.200236,9404534
32768,64,2,0,0,0.222457,9634965
32768,64,4,1,1,0.199496,5790806
32768,64,4,1,0,0.218799,5902816
32768,64,4,0,1,0.199496,9414606
32768,64,4,0,0,0.218799,9620416
32768,64,8,1,1,0.200455,5802783
32768,64,8,1,0,0.219809,5917681
32768,64,8,0,1,0.200455,9438883
32768,64,8,0,0,0.219809,9644281
32768,64,16,1,1,0.200923,5806274
32768,64,16,1,0,0.219822,5911078
32768,64,16,0,1,0.200923,9454074
32768,64,16,0,0,0.219822,9655778
32768,64,32,1,1,0.201719,5830189
32768,64,32,1,0,0.220278,5925172
