cache_size,block_size,associativity,write_back,write_allocate,miss_rate,total_cycle
32768,1,1,1,1,0.906861,19641272
32768,1,1,1,0,0.906867,14788171
32768,1,1,0,1,0.906861,14788172
32768,1,1,0,0,0.906867,14788171
32768,1,2,1,1,0.906793,19640083
32768,1,2,1,0,0.906824,14787478
32768,1,2,0,1,0.906793,14787083
32768,1,2,0,0,0.906824,14787478
32768,1,4,1,1,0.906793,19572983
32768,1,4,1,0,0.906824,14787478
32768,1,4,0,1,0.906793,14787083
32768,1,4,0,0,0.906824,14787478
32768,1,8,1,1,0.906793,19572983
32768,1,8,1,0,0.906824,14787478
32768,1,8,0,1,0.906793,14787083
32768,1,8,0,0,0.906824,14787478
32768,1,16,1,1,0.906793,19572983
32768,1,16,1,0,0.906824,14787478
32768,1,16,0,1,0.906793,14787083
32768,1,16,0,0,0.906824,14787478
32768,1,32,1,1,0.906793,19572983
32768,1,32,1,0,0.906824,14787478
32768,1,32,0,1,0.906793,14787083
32768,1,32,0,0,0.906824,14787478
32768,2,1,1,1,0.906861,19641272
32768,2,1,1,0,0.906867,14788171
32768,2,1,0,1,0.906861,14788172
32768,2,1,0,0,0.906867,14788171
32768,2,2,1,1,0.906793,19640083
32768,2,2,1,0,0.906824,14787478
32768,2,2,0,1,0.906793,14787083
32768,2,2,0,0,0.906824,14787478
32768,2,4,1,1,0.906793,19572983
32768,2,4,1,0,0.906824,14787478
32768,2,4,0,1,0.906793,14787083
32768,2,4,0,0,0.906824,14787478
32768,2,8,1,1,0.906793,19572983
32768,2,8,1,0,0.906824,14787478
32768,2,8,0,1,0.906793,14787083
32768,2,8,0,0,0.906824,14787478
32768,2,16,1,1,0.906793,19572983
32768,2,16,1,0,0.906824,14787478
32768,2,16,0,1,0.906793,14787083
32768,2,16,0,0,0.906824,14787478
32768,2,32,1,1,0.906793,19572983
32768,2,32,1,0,0.906824,14787478
32768,2,32,0,1,0.906793,14787083
32768,2,32,0,0,0.906824,14787478
32768,4,1,1,1,0.906861,19641272
32768,4,1,1,0,0.906867,14788171
32768,4,1,0,1,0.906861,14788172
32768,4,1,0,0,0.906867,14788171
32768,4,2,1,1,0.906793,19640083
32768,4,2,1,0,0.906824,14787478
32768,4,2,0,1,0.906793,14787083
32768,4,2,0,0,0.906824,14787478
32768,4,4,1,1,0.906793,19572983
32768,4,4,1,0,0.906824,14787478
32768,4,4,0,1,0.906793,14787083
32768,4,4,0,0,0.906824,14787478
32768,4,8,1,1,0.906793,19572983
32768,4,8,1,0,0.906824,14787478
32768,4,8,0,1,0.906793,14787083
32768,4,8,0,0,0.906824,14787478
32768,4,16,1,1,0.906793,19572983
32768,4,16,1,0,0.906824,14787478
32768,4,16,0,1,0.906793,14787083
32768,4,16,0,0,0.906824,14787478
32768,4,32,1,1,0.906793,19572983
32768,4,32,1,0,0.906824,14787478
32768,4,32,0,1,0.906793,14787083
32768,4,32,0,0,0.906824,14787478
32768,8,1,1,1,0.906861,19641372
32768,8,1,1,0,0.906867,14788171
32768,8,1,0,1,0.906861,14788172
32768,8,1,0,0,0.906867,14788171
32768,8,2,1,1,0.906793,19640183
32768,8,2,1,0,0.906824,14787478
32768,8,2,0,1,0.906793,14787083
32768,8,2,0,0,0.906824,14787478
32768,8,4,1,1,0.906793,19573083
32768,8,4,1,0,0.906824,14787478
32768,8,4,0,1,0.906793,14787083
32768,8,4,0,0,0.906824,14787478
32768,8,8,1,1,0.906793,19573083
32768,8,8,1,0,0.906824,14787478
32768,8,8,0,1,0.906793,14787083
32768,8,8,0,0,0.906824,14787478
32768,8,16,1,1,0.906793,19573083
32768,8,16,1,0,0.906824,14787478
32768,8,16,0,1,0.906793,14787083
32768,8,16,0,0,0.906824,14787478
32768,8,32,1,1,0.906793,19573083
32768,8,32,1,0,0.906824,14787478
32768,8,32,0,1,0.906793,14787083
32768,8,32,0,0,0.906824,14787478
32768,16,1,1,1,0.453627,9906002
32768,16,1,1,0,0.604699,9915093
32768,16,1,0,1,0.453627,9940302
32768,16,1,0,0,0.604699,9915193
32768,16,2,1,1,0.453424,9902235
32768,16,2,1,0,0.60457,9913014
32768,16,2,0,1,0.453424,9937435
32768,16,2,0,0,0.60457,9913114
32768,16,4,1,1,0.453424,9868735
32768,16,4,1,0,0.60457,9913014
32768,16,4,0,1,0.453424,9937435
32768,16,4,0,0,0.60457,9913114
32768,16,8,1,1,0.453424,9868735
32768,16,8,1,0,0.60457,9913014
32768,16,8,0,1,0.453424,9937435
32768,16,8,0,0,0.60457,9913114
32768,16,16,1,1,0.453424,9868735
32768,16,16,1,0,0.60457,9913014
32768,16,16,0,1,0.453424,9937435
32768,16,16,0,0,0.60457,9913114
32768,16,32,1,1,0.453424,9868735
32768,16,32,1,0,0.60457,9913014
32768,16,32,0,1,0.453424,9937435
32768,16,32,0,0,0.60457,9913114
32768,32,1,1,1,0.227219,5042383
32768,32,1,1,0,0.45375,7480782
32768,32,1,0,1,0.227219,7519083
32768,32,1,0,0,0.45375,7480882
32768,32,2,1,1,0.226746,5033460
32768,32,2,1,0,0.453449,7475931
32768,32,2,0,1,0.226746,7512660
32768,32,2,0,0,0.453449,7476031
32768,32,4,1,1,0.226746,5016760
32768,32,4,1,0,0.453449,7475931
32768,32,4,0,1,0.226746,7512660
32768,32,4,0,0,0.453449,7476031
32768,32,8,1,1,0.226746,5016760
32768,32,8,1,0,0.453449,7475931
32768,32,8,0,1,0.226746,7512660
32768,32,8,0,0,0.453449,7476031
32768,32,16,1,1,0.226746,5016760
32768,32,16,1,0,0.453449,7475931
32768,32,16,0,1,0.226746,7512660
32768,32,16,0,0,0.453449,7476031
32768,32,32,1,1,0.226746,5016760
32768,32,32,1,0,0.453449,7475931
32768,32,32,0,1,0.226746,7512660
32768,32,32,0,0,0.453449,7476031
32768,64,1,1,1,0.114417,2618158
32768,64,1,1,0,0.378518,6267437
32768,64,1,0,1,0.114417,6313858
32768,64,1,0,0,0.378518,6267837
32768,64,2,1,1,0.113404,2598923
32768,64,2,1,0,0.377873,6257042
32768,64,2,0,1,0.113404,6300323
32768,64,2,0,0,0.377873,6257442
32768,64,4,1,1,0.113404,2590623
32768,64,4,1,0,0.377873,6257042
32768,64,4,0,1,0.113404,6300323
32768,64,4,0,0,0.377873,6257442
32768,64,8,1,1,0.113404,2590623
32768,64,8,1,0,0.377873,6257042
32768,64,8,0,1,0.113404,6300323
32768,64,8,0,0,0.377873,6257442
32768,64,16,1,1,0.113404,2590623
32768,64,16,1,0,0.377873,6257042
32768,64,16,0,1,0.113404,6300323
32768,64,16,0,0,0.377873,6257442
32768,64,32,1,1,0.113404,2590623
32768,64,32,1,0,0.377873,6257042
32768,64,32,0,1,0.113404,6300323
32768,64,32,0,0,0.377873,6257442
32768,128,1,1,1,0.0588167,1421315
32768,128,1,1,0,0.341414,5669081
32768,128,1,0,1,0.0588167,5721815
32768,128,1,0,0,0.341414,5669581
32768,128,2,1,1,0.0567233,1381356
32768,128,2,1,0,0.340082,5647498
32768,128,2,0,1,0.0567233,5694056
32768,128,2,0,0,0.340082,5648098
32768,128,4,1,1,0.0567233,1377256
32768,128,4,1,0,0.340082,5647498
32768,128,4,0,1,0.0567233,5694056
32768,128,4,0,0,0.340082,5648098
32768,128,8,1,1,0.0567233,1377256
32768,128,8,1,0,0.340082,5647498
32768,128,8,0,1,0.0567233,5694056
32768,128,8,0,0,0.340082,5648098
32768,128,16,1,1,0.0567233,1377256
32768,128,16,1,0,0.340082,5647498
32768,128,16,0,1,0.0567233,5694056
32768,128,16,0,0,0.340082,5648098
32768,128,32,1,1,0.0567233,1377256
32768,128,32,1,0,0.340082,5647498
32768,128,32,0,1,0.0567233,5694056
32768,128,32,0,0,0.340082,5648098
32768,256,1,1,1,0.0326282,853581
32768,256,1,1,0,0.323888,5386336
32768,256,1,0,1,0.0326282,5447081
32768,256,1,0,0,0.323888,5386936
32768,256,2,1,1,0.0283739,772374
32768,256,2,1,0,0.32118,5342577
32768,256,2,0,1,0.0283739,5390874
32768,256,2,0,0,0.32118,5343277
32768,256,4,1,1,0.0283739,770374
32768,256,4,1,0,0.32118,5342577
32768,256,4,0,1,0.0283739,5390874
32768,256,4,0,0,0.32118,5343277
32768,256,8,1,1,0.0283739,770374
32768,256,8,1,0,0.32118,5342577
32768,256,8,0,1,0.0283739,5390874
32768,256,8,0,0,0.32118,5343277
32768,256,16,1,1,0.0283739,770374
32768,256,16,1,0,0.32118,5342577
32768,256,16,0,1,0.0283739,5390874
32768,256,16,0,0,0.32118,5343277
32768,256,32,1,1,0.0283739,770374
32768,256,32,1,0,0.32118,5342577
32768,256,32,0,1,0.0283739,5390874
32768,256,32,0,0,0.32118,5343277
32768,512,1,1,1,0.0227814,631685
32768,512,1,1,0,0.317196,5278426
32768,512,1,0,1,0.0227814,5352485
32768,512,1,0,0,0.317196,5279026
32768,512,2,1,1,0.0142054,468082
32768,512,2,1,0,0.311739,5190315
32768,512,2,0,1,0.0142054,5239382
32768,512,2,0,0,0.311739,5191015
32768,512,4,1,1,0.0142054,466982
32768,512,4,1,0,0.311739,5190315
32768,512,4,0,1,0.0142054,5239382
32768,512,4,0,0,0.311739,5191015
32768,512,8,1,1,0.0142054,466982
32768,512,8,1,0,0.311739,5190315
32768,512,8,0,1,0.0142054,5239382
32768,512,8,0,0,0.311739,5191015
32768,512,16,1,1,0.0142054,466982
32768,512,16,1,0,0.311739,5190315
32768,512,16,0,1,0.0142054,5239382
32768,512,16,0,0,0.311739,5191015
32768,512,32,1,1,0.0142054,466982
32768,512,32,1,0,0.311739,5190315
32768,512,32,0,1,0.0142054,5239382
32768,512,32,0,0,0.311739,5191015
32768,1024,1,1,1,0.0243407,644531
32768,1024,1,1,0,0.31797,5290900
32768,1024,1,0,1,0.0243407,5390431
32768,1024,1,0,0,0.31797,5291500
32768,1024,2,1,1,0.00712111,315936
32768,1024,2,1,0,0.307012,5114085
32768,1024,2,0,1,0.00712111,5163536
32768,1024,2,0,0,0.307012,5114785
32768,1024,4,1,1,0.00712111,315336
32768,1024,4,1,0,0.307012,5114085
32768,1024,4,0,1,0.00712111,5163536
32768,1024,4,0,0,0.307012,5114785
32768,1024,8,1,1,0.00712111,315336
32768,1024,8,1,0,0.307012,5114085
32768,1024,8,0,1,0.00712111,5163536
32768,1024,8,0,0,0.307012,5114785
32768,1024,16,1,1,0.00712111,315336
32768,1024,16,1,0,0.307012,5114085
32768,1024,16,0,1,0.00712111,5163536
32768,1024,16,0,0,0.307012,5114785
32768,1024,32,1,1,0.00712111,315336
32768,1024,32,1,0,0.307012,5114085
32768,1024,32,0,1,0.00712111,5163536
32768,1024,32,0,0,0.307012,5114785
32768,2048,1,1,1,0.0380856,898392
32768,2048,1,1,0,0.326607,5430093
32768,2048,1,0,1,0.0380856,5580092
32768,2048,1,0,0,0.326607,5430793
32768,2048,2,1,1,0.00357897,239813
32768,2048,2,1,0,0.304648,5075870
32768,2048,2,0,1,0.00357897,5125613
