cache_size,block_size,associativity,write_back,write_allocate,miss_rate,total_cycle
32768,1,1,1,1,1,793700
32768,1,1,1,0,1,546300
32768,1,1,0,1,1,546300
32768,1,1,0,0,1,546300
32768,1,2,1,1,1,794100
32768,1,2,1,0,1,546300
32768,1,2,0,1,1,546300
32768,1,2,0,0,1,546300
32768,1,4,1,1,1,792400
32768,1,4,1,0,1,546300
32768,1,4,0,1,1,546300
32768,1,4,0,0,1,546300
32768,1,8,1,1,1,768600
32768,1,8,1,0,1,546300
32768,1,8,0,1,1,546300
32768,1,8,0,0,1,546300
32768,1,16,1,1,0.999817,738201
32768,1,16,1,0,1,546300
32768,1,16,0,1,0.999817,546201
32768,1,16,0,0,1,546300
32768,1,32,1,1,0.999817,738601
32768,1,32,1,0,1,546300
32768,1,32,0,1,0.999817,546201
32768,1,32,0,0,1,546300
32768,2,1,1,1,1,793700
32768,2,1,1,0,1,546300
32768,2,1,0,1,1,546300
32768,2,1,0,0,1,546300
32768,2,2,1,1,1,794100
32768,2,2,1,0,1,546300
32768,2,2,0,1,1,546300
32768,2,2,0,0,1,546300
32768,2,4,1,1,1,792400
32768,2,4,1,0,1,546300
32768,2,4,0,1,1,546300
32768,2,4,0,0,1,546300
32768,2,8,1,1,1,768600
32768,2,8,1,0,1,546300
32768,2,8,0,1,1,546300
32768,2,8,0,0,1,546300
32768,2,16,1,1,0.999817,738201
32768,2,16,1,0,1,546300
32768,2,16,0,1,0.999817,546201
32768,2,16,0,0,1,546300
32768,2,32,1,1,0.999817,738601
32768,2,32,1,0,1,546300
32768,2,32,0,1,0.999817,546201
32768,2,32,0,0,1,546300
32768,4,1,1,1,1,793700
32768,4,1,1,0,1,546300
32768,4,1,0,1,1,546300
32768,4,1,0,0,1,546300
32768,4,2,1,1,1,794100
32768,4,2,1,0,1,546300
32768,4,2,0,1,1,546300
32768,4,2,0,0,1,546300
32768,4,4,1,1,1,792400
32768,4,4,1,0,1,546300
32768,4,4,0,1,1,546300
32768,4,4,0,0,1,546300
32768,4,8,1,1,1,768600
32768,4,8,1,0,1,546300
32768,4,8,0,1,1,546300
32768,4,8,0,0,1,546300
32768,4,16,1,1,0.999817,738201
32768,4,16,1,0,1,546300
32768,4,16,0,1,0.999817,546201
32768,4,16,0,0,1,546300
