cache_size,block_size,associativity,write_back,write_allocate,miss_rate,total_cycle
32768,1,1,1,1,0.297045,7073115
32768,1,1,1,0,0.321425,7634544
32768,1,1,0,1,0.297045,7073115
32768,1,1,0,0,0.321425,7634544
32768,1,2,1,1,0.276311,6595638
32768,1,2,1,0,0.308261,7331406
32768,1,2,0,1,0.276311,6595638
32768,1,2,0,0,0.308261,7331406
32768,1,4,1,1,0.26445,6322497
32768,1,4,1,0,0.297398,7081233
32768,1,4,0,1,0.26445,6322497
32768,1,4,0,0,0.297398,7081233
32768,1,8,1,1,0.256837,6147168
32768,1,8,1,0,0.289801,6906300
32768,1,8,0,1,0.256837,6147168
32768,1,8,0,0,0.289801,6906300
32768,1,16,1,1,0.254696,6097866
32768,1,16,1,0,0.288602,6878679
32768,1,16,0,1,0.254696,6097866
32768,1,16,0,0,0.288602,6878679
32768,1,32,1,1,0.254244,6087471
32768,1,32,1,0,0.288456,6875313
32768,1,32,0,1,0.254244,6087471
32768,1,32,0,0,0.288456,6875313
32768,2,1,1,1,0.297045,7073115
32768,2,1,1,0,0.321425,7634544
32768,2,1,0,1,0.297045,7073115
32768,2,1,0,0,0.321425,7634544
32768,2,2,1,1,0.276311,6595638
32768,2,2,1,0,0.308261,7331406
32768,2,2,0,1,0.276311,6595638
32768,2,2,0,0,0.308261,7331406
32768,2,4,1,1,0.26445,6322497
32768,2,4,1,0,0.297398,7081233
32768,2,4,0,1,0.26445,6322497
32768,2,4,0,0,0.297398,7081233
32768,2,8,1,1,0.256837,6147168
32768,2,8,1,0,0.289801,6906300
32768,2,8,0,1,0.256837,6147168
32768,2,8,0,0,0.289801,6906300
32768,2,16,1,1,0.254696,6097866
32768,2,16,1,0,0.288602,6878679
32768,2,16,0,1,0.254696,6097866
32768,2,16,0,0,0.288602,6878679
32768,2,32,1,1,0.254244,6087471
32768,2,32,1,0,0.288456,6875313
32768,2,32,0,1,0.254244,6087471
32768,2,32,0,0,0.288456,6875313
32768,4,1,1,1,0.297045,7073115
32768,4,1,1,0,0.321425,7634544
32768,4,1,0,1,0.297045,7073115
32768,4,1,0,0,0.321425,7634544
32768,4,2,1,1,0.276311,6595638
32768,4,2,1,0,0.308261,7331406
32768,4,2,0,1,0.276311,6595638
32768,4,2,0,0,0.308261,7331406
32768,4,4,1,1,0.26445,6322497
32768,4,4,1,0,0.297398,7081233
32768,4,4,0,1,0.26445,6322497
32768,4,4,0,0,0.297398,7081233
32768,4,8,1,1,0.256837,6147168
32768,4,8,1,0,0.289801,6906300
32768,4,8,0,1,0.256837,6147168
32768,4,8,0,0,0.289801,6906300
32768,4,16,1,1,0.254696,6097866
32768,4,16,1,0,0.288602,6878679
32768,4,16,0,1,0.254696,6097866
32768,4,16,0,0,0.288602,6878679
32768,4,32,1,1,0.254244,6087471
32768,4,32,1,0,0.288456,6875313
32768,4,32,0,1,0.254244,6087471
32768,4,32,0,0,0.288456,6875313
32768,8,1,1,1,0.297045,7073115
32768,8,1,1,0,0.321425,7634544
32768,8,1,0,1,0.297045,7073115
32768,8,1,0,0,0.321425,7634544
32768,8,2,1,1,0.276311,6595638
32768,8,2,1,0,0.308261,7331406
32768,8,2,0,1,0.276311,6595638
32768,8,2,0,0,0.308261,7331406
32768,8,4,1,1,0.26445,6322497
32768,8,4,1,0,0.297398,7081233
32768,8,4,0,1,0.26445,6322497
32768,8,4,0,0,0.297398,7081233
32768,8,8,1,1,0.256837,6147168
32768,8,8,1,0,0.289801,6906300
32768,8,8,0,1,0.256837,6147168
32768,8,8,0,0,0.289801,6906300
32768,8,16,1,1,0.254696,6097866
32768,8,16,1,0,0.288602,6878679
32768,8,16,0,1,0.254696,6097866
32768,8,16,0,0,0.288602,6878679
32768,8,32,1,1,0.254244,6087471
32768,8,32,1,0,0.288456,6875313
32768,8,32,0,1,0.254244,6087471
32768,8,32,0,0,0.288456,6875313
32768,16,1,1,1,0.257112,6153504
32768,16,1,1,0,0.281814,6722358
32768,16,1,0,1,0.257112,6153504
32768,16,1,0,0,0.281814,6722358
32768,16,2,1,1,0.237474,5701272
32768,16,2,1,0,0.261995,6265968
32768,16,2,0,1,0.237474,5701272
32768,16,2,0,0,0.261995,6265968
32768,16,4,1,1,0.225432,5423973
32768,16,4,1,0,0.247465,5931348
32768,16,4,0,1,0.225432,5423973
32768,16,4,0,0,0.247465,5931348
32768,16,8,1,1,0.216499,5218251
32768,16,8,1,0,0.236132,5670384
32768,16,8,0,1,0.216499,5218251
32768,16,8,0,0,0.236132,5670384
32768,16,16,1,1,0.211198,5096184
32768,16,16,1,0,0.230157,5532774
32768,16,16,0,1,0.211198,5096184
32768,16,16,0,0,0.230157,5532774
32768,16,32,1,1,0.209586,5059059
32768,16,32,1,0,0.22854,5495550
32768,16,32,0,1,0.209586,5059059
32768,16,32,0,0,0.22854,5495550
32768,32,1,1,1,0.256897,6148554
32768,32,1,1,0,0.282033,6727407
32768,32,1,0,1,0.256897,6148554
32768,32,1,0,0,0.282033,6727407
32768,32,2,1,1,0.243381,5837298
32768,32,2,1,0,0.266531,6370413
32768,32,2,0,1,0.243381,5837298
32768,32,2,0,0,0.266531,6370413
32768,32,4,1,1,0.237848,5709885
32768,32,4,1,0,0.257099,6153207
32768,32,4,0,1,0.237848,5709885
32768,32,4,0,0,0.257099,6153207
32768,32,8,1,1,0.236193,5671770
32768,32,8,1,0,0.254244,6087471
32768,32,8,0,1,0.236193,5671770
32768,32,8,0,0,0.254244,6087471
