cache_size,block_size,associativity,write_back,write_allocate,miss_rate,total_cycle
32768,1,1,1,1,0.906861,14787572
32768,1,1,1,0,0.906867,14787671
32768,1,1,0,1,0.906861,14787572
32768,1,1,0,0,0.906867,14787671
32768,1,2,1,1,0.906793,14786483
32768,1,2,1,0,0.906824,14786978
32768,1,2,0,1,0.906793,14786483
32768,1,2,0,0,0.906824,14786978
32768,1,4,1,1,0.906793,14786483
32768,1,4,1,0,0.906824,14786978
32768,1,4,0,1,0.906793,14786483
32768,1,4,0,0,0.906824,14786978
32768,1,8,1,1,0.906793,14786483
32768,1,8,1,0,0.906824,14786978
32768,1,8,0,1,0.906793,14786483
32768,1,8,0,0,0.906824,14786978
32768,1,16,1,1,0.906793,14786483
32768,1,16,1,0,0.906824,14786978
32768,1,16,0,1,0.906793,14786483
32768,1,16,0,0,0.906824,14786978
32768,1,32,1,1,0.906793,14786483
32768,1,32,1,0,0.906824,14786978
32768,1,32,0,1,0.906793,14786483
32768,1,32,0,0,0.906824,14786978
32768,2,1,1,1,0.906861,14787572
32768,2,1,1,0,0.906867,14787671
32768,2,1,0,1,0.906861,14787572
32768,2,1,0,0,0.906867,14787671
32768,2,2,1,1,0.906793,14786483
32768,2,2,1,0,0.906824,14786978
32768,2,2,0,1,0.906793,14786483
32768,2,2,0,0,0.906824,14786978
32768,2,4,1,1,0.906793,14786483
32768,2,4,1,0,0.906824,14786978
32768,2,4,0,1,0.906793,14786483
32768,2,4,0,0,0.906824,14786978
32768,2,8,1,1,0.906793,14786483
32768,2,8,1,0,0.906824,14786978
32768,2,8,0,1,0.906793,14786483
32768,2,8,0,0,0.906824,14786978
32768,2,16,1,1,0.906793,14786483
32768,2,16,1,0,0.906824,14786978
32768,2,16,0,1,0.906793,14786483
32768,2,16,0,0,0.906824,14786978
32768,2,32,1,1,0.906793,14786483
32768,2,32,1,0,0.906824,14786978
32768,2,32,0,1,0.906793,14786483
32768,2,32,0,0,0.906824,14786978
32768,4,1,1,1,0.906861,14787572
32768,4,1,1,0,0.906867,14787671
32768,4,1,0,1,0.906861,14787572
32768,4,1,0,0,0.906867,14787671
32768,4,2,1,1,0.906793,14786483
32768,4,2,1,0,0.906824,14786978
32768,4,2,0,1,0.906793,14786483
32768,4,2,0,0,0.906824,14786978
32768,4,4,1,1,0.906793,14786483
32768,4,4,1,0,0.906824,14786978
32768,4,4,0,1,0.906793,14786483
32768,4,4,0,0,0.906824,14786978
32768,4,8,1,1,0.906793,14786483
32768,4,8,1,0,0.906824,14786978
32768,4,8,0,1,0.906793,14786483
32768,4,8,0,0,0.906824,14786978
32768,4,16,1,1,0.906793,14786483
32768,4,16,1,0,0.906824,14786978
32768,4,16,0,1,0.906793,14786483
32768,4,16,0,0,0.906824,14786978
32768,4,32,1,1,0.906793,14786483
32768,4,32,1,0,0.906824,14786978
32768,4,32,0,1,0.906793,14786483
32768,4,32,0,0,0.906824,14786978
32768,8,1,1,1,0.906861,14787572
32768,8,1,1,0,0.906867,14787671
32768,8,1,0,1,0.906861,14787572
32768,8,1,0,0,0.906867,14787671
32768,8,2,1,1,0.906793,14786483
32768,8,2,1,0,0.906824,14786978
32768,8,2,0,1,0.906793,14786483
32768,8,2,0,0,0.906824,14786978
32768,8,4,1,1,0.906793,14786483
32768,8,4,1,0,0.906824,14786978
32768,8,4,0,1,0.906793,14786483
32768,8,4,0,0,0.906824,14786978
32768,8,8,1,1,0.906793,14786483
32768,8,8,1,0,0.906824,14786978
32768,8,8,0,1,0.906793,14786483
32768,8,8,0,0,0.906824,14786978
32768,8,16,1,1,0.906793,14786483
32768,8,16,1,0,0.906824,14786978
32768,8,16,0,1,0.906793,14786483
32768,8,16,0,0,0.906824,14786978
32768,8,32,1,1,0.906793,14786483
32768,8,32,1,0,0.906824,14786978
32768,8,32,0,1,0.906793,14786483
32768,8,32,0,0,0.906824,14786978
32768,16,1,1,1,0.453627,7478402
32768,16,1,1,0,0.604699,9914693
32768,16,1,0,1,0.453627,7478402
32768,16,1,0,0,0.604699,9914693
32768,16,2,1,1,0.453424,7475135
32768,16,2,1,0,0.60457,9912614
32768,16,2,0,1,0.453424,7475135
32768,16,2,0,0,0.60457,9912614
32768,16,4,1,1,0.453424,7475135
32768,16,4,1,0,0.60457,9912614
32768,16,4,0,1,0.453424,7475135
32768,16,4,0,0,0.60457,9912614
32768,16,8,1,1,0.453424,7475135
32768,16,8,1,0,0.60457,9912614
32768,16,8,0,1,0.453424,7475135
32768,16,8,0,0,0.60457,9912614
32768,16,16,1,1,0.453424,7475135
32768,16,16,1,0,0.60457,9912614
32768,16,16,0,1,0.453424,7475135
32768,16,16,0,0,0.60457,9912614
32768,16,32,1,1,0.453424,7475135
32768,16,32,1,0,0.60457,9912614
32768,16,32,0,1,0.453424,7475135
32768,16,32,0,0,0.60457,9912614
32768,32,1,1,1,0.227219,3827183
32768,32,1,1,0,0.45375,7480382
32768,32,1,0,1,0.227219,3827183
32768,32,1,0,0,0.45375,7480382
32768,32,2,1,1,0.226746,3819560
32768,32,2,1,0,0.453449,7475531
32768,32,2,0,1,0.226746,3819560
32768,32,2,0,0,0.453449,7475531
32768,32,4,1,1,0.226746,3819560
32768,32,4,1,0,0.453449,7475531
32768,32,4,0,1,0.226746,3819560
32768,32,4,0,0,0.453449,7475531
32768,32,8,1,1,0.226746,3819560
32768,32,8,1,0,0.453449,7475531
32768,32,8,0,1,0.226746,3819560
32768,32,8,0,0,0.453449,7475531
32768,32,16,1,1,0.226746,3819560
32768,32,16,1,0,0.453449,7475531
32768,32,16,0,1,0.226746,3819560
32768,32,16,0,0,0.453449,7475531
32768,32,32,1,1,0.226746,3819560
32768,32,32,1,0,0.453449,7475531
32768,32,32,0,1,0.226746,3819560
32768,32,32,0,0,0.453449,7475531
32768,64,1,1,1,0.114417,2008058
32768,64,1,1,0,0.378518,6267137
32768,64,1,0,1,0.114417,2008058
32768,64,1,0,0,0.378518,6267137
32768,64,2,1,1,0.113404,1991723
32768,64,2,1,0,0.377873,6256742
32768,64,2,0,1,0.113404,1991723
32768,64,2,0,0,0.377873,6256742
32768,64,4,1,1,0.113404,1991723
32768,64,4,1,0,0.377873,6256742
32768,64,4,0,1,0.113404,1991723
32768,64,4,0,0,0.377873,6256742
32768,64,8,1,1,0.113404,1991723
32768,64,8,1,0,0.377873,6256742
32768,64,8,0,1,0.113404,1991723
32768,64,8,0,0,0.377873,6256742
32768,64,16,1,1,0.113404,1991723
32768,64,16,1,0,0.377873,6256742
32768,64,16,0,1,0.113404,1991723
32768,64,16,0,0,0.377873,6256742
32768,64,32,1,1,0.113404,1991723
32768,64,32,1,0,0.377873,6256742
32768,64,32,0,1,0.113404,1991723
32768,64,32,0,0,0.377873,6256742
32768,128,1,1,1,0.0588167,1111415
32768,128,1,1,0,0.341414,5668781
32768,128,1,0,1,0.0588167,1111415
32768,128,1,0,0,0.341414,5668781
32768,128,2,1,1,0.0567233,1077656
32768,128,2,1,0,0.340082,5647298
32768,128,2,0,1,0.0567233,1077656
32768,128,2,0,0,0.340082,5647298
32768,128,4,1,1,0.0567233,1077656
32768,128,4,1,0,0.340082,5647298
32768,128,4,0,1,0.0567233,1077656
32768,128,4,0,0,0.340082,5647298
32768,128,8,1,1,0.0567233,1077656
32768,128,8,1,0,0.340082,5647298
32768,128,8,0,1,0.0567233,1077656
32768,128,8,0,0,0.340082,5647298
32768,128,16,1,1,0.0567233,1077656
32768,128,16,1,0,0.340082,5647298
32768,128,16,0,1,0.0567233,1077656
32768,128,16,0,0,0.340082,5647298
32768,128,32,1,1,0.0567233,1077656
32768,128,32,1,0,0.340082,5647298
32768,128,32,0,1,0.0567233,1077656
32768,128,32,0,0,0.340082,5647298
32768,256,1,1,1,0.0326282,689081
32768,256,1,1,0,0.323888,5386136
32768,256,1,0,1,0.0326282,689081
32768,256,1,0,0,0.323888,5386136
32768,256,2,1,1,0.0283739,620474
32768,256,2,1,0,0.32118,5342477
32768,256,2,0,1,0.0283739,620474
32768,256,2,0,0,0.32118,5342477
32768,256,4,1,1,0.0283739,620474
32768,256,4,1,0,0.32118,5342477
32768,256,4,0,1,0.0283739,620474
32768,256,4,0,0,0.32118,5342477
32768,256,8,1,1,0.0283739,620474
32768,256,8,1,0,0.32118,5342477
32768,256,8,0,1,0.0283739,620474
32768,256,8,0,0,0.32118,5342477
32768,256,16,1,1,0.0283739,620474
32768,256,16,1,0,0.32118,5342477
32768,256,16,0,1,0.0283739,620474
32768,256,16,0,0,0.32118,5342477
32768,256,32,1,1,0.0283739,620474
32768,256,32,1,0,0.32118,5342477
